Start,End,Text
0.08,14.53,Seninle işlerin altına inin bakın gerçeği görün çünkü manşete bakıyoruz manşet bir şeyse o manşet üzerinden yorumlar yapıyoruz. Teşekkür ederim. Buyurunuz lütfen iyi akşamlar. Öncelikle Sayın Kılıçdaroğlu ozan bey.
14.53,20.08,"Evet, teşekkür yayınlanmasını istemiyorum. Bu arada bilginiz olsun."
20.08,48.37,Şöyle yayınlanmasını istemiyorum. Neden kendi tercihim yayınlanmasını istemiyorum ama bunların hepsi gerçek bakabilirsiniz. Olsun olsun hiç önemli değil. Yayınlanmasını izin verir misin? Bana bir saniye sakin olalım. Zaten bu mimaride soru gelecektir. Bu benim aklımda eğer bu minvalde soru gelmez ise ben de sana söz veriyorum of record beyefendiye bunları cevaplamasını isteyeceğim ama bu minvalde eminim ki soru vardır zaten sen de aklında tut ben de buradayım aklıma yayınlanmasını istemiyorum. Merak etme teşekkür ederim ben teşekkür ediyorum sağolun buyurunuz.
48.37,79.16,"Herkese iyi akşamlar kampana nüfustan Fatma Karaağaç, gazeteciyim Kemal bey, merhabalar ankara'dan istanbul'a sizinle başından sonuna kadar yürüyen tek gazeteci olabilirim. Kemal bey'in eğer ki Cumhurbaşkanı olur ise ne yapacağını çok merak ediyorum. Ben. Habertürk'te spor spikeri miydim? 7 mart günü işimden çıkarıldım. Bylock kullandığım için ve ardından nasıl kullandığımı bilmiyorum. Benimle ilgili hiçbir soruşturma açılmadı. 3 gün beklediler ve servis ettiler. Haberi haberin arkasında 2 tane gerçekten kullanan vardı, onu gizlediler ben o sırada."
79.16,111.45,"Tecavüzcüsüyle evlendirilen bilir yasasının geçtiği zaman dilimi içerisinde tweet attım. Spor bülteni sunarken bununla ilgili irademi ortaya koydum. Sonra siz adalet yürüyüşünü başlattınız. Sizinle birlikte yola çıktık, tırnaklarımızı bıraktık ve türkiye'de hepimiz birer terörist olabiliriz. Ama ben mini etekli terörist olarak adlandırıldığını sonra ne yaşadım biliyor musunuz? Kendimi gittim, ihbar ettim, savcı kovuşturmaya yer yoktur dedi. Itiraz ettim, telefonumu götürdüm, ben bunu nasıl sorgulayacağım, nasıl inceleyeceğim dedim kaşınma."
111.45,140.11,"Dediler bana bak koşturmaya yer yoktur denildi. Ben tekrar itiraz ettim tekrar anlattım. Yine yara@ verildi. Ben yargılanamaz adım bana ne dediler biliyor musunuz? Herkes senin gibi yapıyor dediler. Geliyor kendini ihbar ediyor dediler. Yok öyle değil o iş itirafçı oluyorlar, at veriyorlar, öyle kurtuluyorlar umarım toparlayarak devam edeceğim."
140.11,164.89,"Kara mehmet'le çalıştım lik.tv de ciner ile çalıştım. Doğan grubuyla çalıştım. Muhalif medyamızda çalıştım. Partilerin içli dışlı olduğu yerlerle çalışmak zorunda kaldım. Hep sevimle girdim. Adamım olmadığı için genel merkez koridorlarında gezmediğim için hiç kimseye ait olmadığı için ilk çıkarılan insan oldum. Bunu da çok rahatlıkla söylerim. Referanslarım 32 günün efsane yönetmeni musa çözen, ihsan topaloğlu, bunlar medyadan 2 kişi."
164.89,197.46,"Benim dava dosyama da ilhan cihaner ben adalet yürüyüşünde yürürken ya bir saniye sizin gibi bir insan varmış nedir bu diye baktığında hiçbir şey bulamadık dedi ve Oğuzhan yenebilir. Dijital verilerin ihlalini ve ergenekon balyoz sürecinde incelemelerden biri de Koray peksayar vardır. 11.480 kişi bu ülkede mağdur edildi, bazıları çocuklarını kaybetti. Hapishanede pardon yanlış oldu dediler ve mor beyin mağduru olduğu ortaya çıktı. Bu insanların kamuda olanları İade edilebildi fakat ne oldu biliyor musunuz? Özelliklerin bir çoğu intihar etti."
197.46,228.83,"Birçoğu tedavi oldu. O 11.480 kişi üçle çarpın ailelerinden fertlerini düşünün. Bu ülkede mücadeleyi tek başına verdim. Dijital verinin sahteliğini ispatladılar. Koray peksayar da dahil buna birçok bilişimci mor beyin diye bir uygulamadan dolayı nasıl olduğunu bilmiyoruz. Indirdiğimiz uygulamalardan dolayı ve bedel ödedim. Şimdi gelelim muhalif medyaya muhalif medya baysak genel merkez koridorlarında ilişkileri olan güçlü olan ki sizin de habertürk'ten basın danışmanınız var, işlerin nasıl yürüdüğünü çok iyi biliyorsunuz."
228.83,263.64,"Azcık daha frene basmanızı diyeceğim yok sizi kendinize de yapmayın, azıcık dadır. 7 yıldır hiçbir yerde konuşmadım, anladım ama dediğim gibi birazcık daha sakin olursanız olun yurt dışına da gitmeyi tercih etmedim. Imkanım vardı. Eğitimim de, donanımı da buna yeterli. Benim yurt dışından eğitim aldım. Şimdi şunu söylemeye getireceğim. Ben halk tv'de de çalıştım, halk TV ye gelelim mesela halk tv'de yerimi sizin belediye başkanlarından birinin akrabası getirildi. Sonra o kişi diğer bir KRT de başka bir spiker arkadaşımın yerine getirildi. Düzen nasıl işliyor Kemal bey böyle işliyor, her yerde böyle işliyor, umurumda mı ekran?"
263.64,298.69,"Zerre umurunda değil, hayatıma devam ettim. Paramı kazandığım 11.480 kişinin içerisinde birçok kişinin dosyasını ohal komisyonuna götürdüm. Taşıdığım bir kaza olmuştu. Ben sağ kurtuldum, ölenler vardı, destek olmaya çalıştım ve umurumda da olmadı yaşadım ama belden aşağı yazılar yazıldı mı? Kadınlığımı hakaret edildi mi edildi? Ama şunu söylüyorum, dördüncü güç diyorsunuz ya şu an size uygulanan o berbat kara propaganda% doksanı elinde olan iktidar tarafından yapılıyor ya diğer tarafta da bu cepheleşme enin devam etmesini isteyen bir kitle de var. Bunu da biliyorsunuz şimdi Cumhurbaşkanı olduğunuzda umarım olursunuz."
298.69,333.93,"Değer değişim olursa özgür basın diyorsunuz ama bu parti leşmiş bu köhne bu olmazları olduran sistemi nasıl ayağa kaldıracaksınız, nasıl bertaraf edeceksiniz? Bu köşe başlarını tutanlar nasıl ilave edeceksiniz ya da bu özgür basın dediğiniz şey nasıl bir şey? Bir anlatın güzel medya konusunda en çok şikayet edenlerden birisi de benim gerçekten de türkiye'de sağlıklı işleyen bir medya mekanizmasının olmadığını bilenlerden de birisiyim. En çok asparagas haberleri üreten ve onları kamuoyuna sunan kamuoyunu yanıltan medyanın olduğunu da biliyorum. Medyanın özgür olmadığını da biliyorum."
333.93,365.1,"Milli baskıların altında olduğunu da biliyorum. Medya konusunda bizim güzel bir raporumuz var. Hem yerel medya açısından hem yaygın medya açısından Türkiye genelinde radyo ve televizyonları açısından rtük'ün nasıl yapılanması gerektiği açısından trt'nin tarafsız yayın yapması açısından mesela trt bana sadece 32 dakika seçim süresince 32 dakika ama ak parti'ye tam 42 saat zaman ayırıyor ve yasası diyor ki, TRT bağımsız ve tarafsız bir kurumdur diyor. Nasıl bir tarafsızlık bunları biliyorum. Hepsini biliyorum. Hatta buraya gelirken arkadaşlarım."
365.1,396.07,"Örnek gösterdiler. Bu da thaber sözde yapıyor. Allah aşkına bakın tarafsız ve bağımsız yayın organına bakın. Bunlar oluyor yani. Ama bunlar artık halk bunları biliyor. Ben muhalif medya dediniz. Medyanın da kendi içinde ciddi sorunları var. Onu da biliyorum ama benim bir şanssızlığım var. Ben televizyon izleyemiyorum arkadaşlar benim zaten televizyon izleyecek zamanım da yok. Dolayısıyla oralarda neler oluyor, neler bitiyor bilmiyorum, yani kim nerede, ne yapıyor diye ama bildiğim bir gerçek var, medya sınıfta kalmış vaziyette, sağlıklı ve tutarlı bir medyamız maalesef yok."
396.07,427,"Yasal bir altyapıyla bunu gerçekten sağlıklı bir zemine oturtmak lazım. Medya patronu olmaz, hem işin olacak. Dünya kadar işin bir de elinde gazete televizyon olacak ve onu silah olarak kullanacaksın ve iktidarın emrine vereceksin. Buradan çıkması lazım. Özgür ve bağımsız bir medya olması lazım. Bunun kurallarının getirilmesi lazım. Peki sizin iktidarınızda ya da Cumhurbaşkanı olduğunuz takdirde mesela ciner mesela karamehmet çıktı ama doğan grubu tekrar gelir alırsa yahut demir oran devletten ihale alabilecek mi? Alamayacak? Ana hedefimiz soruyorsan."
427,461.16,"Hiçbir medya patronunu başka bir işi olmayacak. Sadece medyayla uğraşacak, öyle başka işleri olduğu zaman medyaya gidiyor. Efendim şu fabrikayı şu ihaleyi şu şeydi, girdiğiniz andan itibaren bağımsız medya olmaktan çıkıyorsunuz. Birinci dönem ak parti'den eski Başbakanlık Teftiş Kurulu bir arkadaşım vardı. Parti milletvekiliydi. Biz ikimiz beraber plan Bütçe Komisyonu üyesiydim ve söz verdik. Eğer medyayla ilgili bir düzenleme gelirse medyada sendikalı zorunlu hale getirelim diye ikimiz ak parti'den, o chp'den ben beraber verecektik ve medyada sendikalaşmanın zorunlu hale getirecektir."
461.16,494.44,"Fakat maalesef görev yaptığımız süre içinde böyle bir yasa gelmediği için gerçekleşmedi. Tabii gerçekleşseydi mükemmel bir şey olacaktı. En azından önemli bir adım atılmış olacaktı. Evet, çok teşekkür ediyorum. Hemen mikrofon sende söyle lütfen. Sayın Kemal bey'e bu programa katıldığı için teşekkür ediyorum. Oğuzdan abi sana da çok teşekkür ederim. Böyle bir tarafsız program sunduğun için memleket partili de zafer partili akp'li de eleştiri konusu olsa da Cumhuriyet Halk partililer de soru sorabiliyor. Şu an burada bir saniye ne soracağına bağlı çünkü biliyorsun bir kuralımız var, karşıt görüş olmam ve öyle bir soru sorman lazım, ben Cumhuriyet Halk Partisi adına soru sormuyorum, AKP dedin ya o yüzden."
494.44,499.86,Hay.
499.86,528.45,"Efendim isterseniz 12 soru daha alalım, toplu bir cevap verelim bir araya daha gidelim. Sonra dönelim beyefendi. Siz sorunuzu sorun hemen hanımefendi mi? Sorusunu alacağım. Sonra buyurun sorumu sormadan önce 20 saniyelik bir Kemal bey'in konuşmasını dinletmek istiyorum. Hiçbir kişinin, hiçbir işçinin kılına dokunmayacağım. Çalıştığı sürece alın teri döktüğü sürece evine helal ekmek götürdüğü sürece her işçi çalışacak siyasi görüşü ne olursa olsun her işçi çalışacak, onun güvencesini de veriyoruz."
528.45,550.86,"Yarın kazandığımızda bir işçinin işine son verilirse.ch p li Belediye Başkanı son veriyorum dediyse o işçi kardeşime söylüyorum, geleceksin beni bulacaksın, beraber gideceğiz. Ben seni işe yeniden yerleştireceğim. Geldin galiba. Şimdi ben geldim, buradayım al."
